,City,Country,Address,Coordinates,Latitude,Longitude
0,Acapulco,Costa Rica,"Acapulco, Costa Rica","Acapulco, Cantón Puntarenas, Provincia Puntarenas, 60114, Costa Rica",10.1779876,-84.7816996793368
1,Agua Caliente (San Francisco),Costa Rica,"Agua Caliente (San Francisco), Costa Rica",,,
2,Aguabuena,Costa Rica,"Aguabuena, Costa Rica","Aguabuena, Cantón Coto Brus, Provincia Puntarenas, 60803, Costa Rica",8.7480989,-82.9430118
3,Aguas Claras,Costa Rica,"Aguas Claras, Costa Rica","Aguas Claras, Cantón Upala, Provincia Alajuela, 21302, Costa Rica",10.8649539,-85.2549567728042
4,Aguas Zarcas,Costa Rica,"Aguas Zarcas, Costa Rica","Aguas Zarcas, Cantón San Carlos, Provincia Alajuela, 21004, Costa Rica",10.3743603,-84.342915
5,Alajuela,Costa Rica,"Alajuela, Costa Rica","Provincia Alajuela, Costa Rica",10.6916755,-84.7561318
6,Alajuelita,Costa Rica,"Alajuelita, Costa Rica","Cantón Alajuelita, Provincia San José, Costa Rica",9.88904325,-84.1061032920821
7,Alegría,Costa Rica,"Alegria, Costa Rica","Alegría, Cantón Siquirres, Provincia Limón, 70306, Costa Rica",10.090218,-83.6016171
8,Alfaro,Costa Rica,"Alfaro, Costa Rica","Alfaro, Cantón San Ramón, Provincia Alajuela, 20209, Costa Rica",10.08934465,-84.49878193944
9,Ángeles,Costa Rica,"Angeles, Costa Rica","Ángeles, Cantón San Rafael, Provincia Heredia, 40504, Costa Rica",10.0386884,-84.0890116
10,Ángeles,Costa Rica,"Angeles, Costa Rica","Ángeles, Cantón San Rafael, Provincia Heredia, 40504, Costa Rica",10.0386884,-84.0890116
11,Anselmo Llorente,Costa Rica,"Anselmo Llorente, Costa Rica","Anselmo Llorente, Cantón Tibás, Provincia San José, 11303, Costa Rica",9.9543664,-84.0701249
12,Arancibia,Costa Rica,"Arancibia, Costa Rica","Arancibia, Cantón Puntarenas, Provincia Puntarenas, 60116, Costa Rica",10.22578755,-84.7162732265765
13,Arenal,Costa Rica,"Arenal, Costa Rica","Volcán Arenal, La Fortuna, Cantón San Carlos, Provincia Alajuela, 21007, Costa Rica",10.4620845,-84.7034096
14,Aserrí,Costa Rica,"Aserri, Costa Rica","Cantón Aserrí, Provincia San José, Costa Rica",9.7481219,-84.1239925074241
15,Asunción,Costa Rica,"Asuncion, Costa Rica","La Asunción, Cantón Belén, Provincia Heredia, 40703, Costa Rica",9.9804665,-84.171022
16,Atenas,Costa Rica,"Atenas, Costa Rica","Cantón Atenas, Provincia Alajuela, Costa Rica",9.9795178,-84.3991733415118
17,Bagaces,Costa Rica,"Bagaces, Costa Rica","Cantón Bagaces, Provincia Guanacaste, Costa Rica",10.51369715,-85.2846278101914
18,Bahía Ballena,Costa Rica,"Bahia Ballena, Costa Rica","Bahía Ballena, Cantón Osa, Provincia Puntarenas, 60504, Costa Rica",9.1797113,-83.7246406115702
19,Bahía Drake,Costa Rica,"Bahia Drake, Costa Rica","Bahía Drake, Cantón Osa, Provincia Puntarenas, 60506, Costa Rica",8.64464,-83.6582686076299
